# margin grid for p_c=0.4
# Valid region: n0 > m
# Generated: 2026-02-15T18:02:08.238874
m,n0,margin,valid
1,10,0.22111456180001687,True
6,10,,True
11,10,,False
16,10,,False
21,10,,False
1,30,,True
6,30,0.6,True
11,30,0.22111456180001687,True
16,30,,True
21,30,,True
1,50,0.6,True
6,50,0.22111456180001687,True
11,50,0.22111456180001687,True
16,50,0.6,True
21,50,,True
1,70,0.6,True
6,70,0.22111456180001687,True
11,70,,True
16,70,,True
21,70,0.22111456180001687,True
1,90,,True
6,90,,True
11,90,0.22111456180001687,True
16,90,0.22111456180001687,True
21,90,,True
