# frac_nodes grid for p_c=0.1
# Valid region: n0 > m
# Generated: 2026-02-18T17:13:46.512182
m,n0,frac_nodes,valid
1,2,1.0,True
3,2,,False
5,2,,False
7,2,,False
9,2,,False
11,2,,False
1,4,1.0,True
3,4,1.0,True
5,4,,False
7,4,,False
9,4,,False
11,4,,False
1,6,1.0,True
3,6,1.0,True
5,6,1.0,True
7,6,,False
9,6,,False
11,6,,False
1,8,1.0,True
3,8,1.0,True
5,8,1.0,True
7,8,1.0,True
9,8,,False
11,8,,False
1,10,1.0,True
3,10,1.0,True
5,10,1.0,True
7,10,1.0,True
9,10,1.0,True
11,10,,False
